model,strategy,threshold,test_auc,test_recall,test_precision,test_f1,test_tp,test_fp,test_tn,test_fn
Medium,Default (0.50),0.5,0.6430725113787433,0.46411483253588515,0.34223790322580644,0.39396576733391353,679,1305,3508,784
Medium,F1-Optimized,0.4428879282844743,0.6430725113787433,0.7259056732740943,0.30247792651666194,0.4270205066344994,1062,2449,2364,401
Medium,Recall ≥ 0.55,0.48206105887653034,0.6430725113787433,0.5502392344497608,0.3265720081135903,0.40987780040733196,805,1660,3153,658
Medium,Recall ≥ 0.60,0.4710713576601863,0.6430725113787433,0.6021872863978127,0.3211811884797667,0.4189253447456015,881,1862,2951,582
Medium,Cost-Sensitive (3:1),0.46608649469320496,0.6430725113787433,0.6274777853725222,0.3186393613328705,0.42265193370165743,918,1963,2850,545
Medium,Youden Index,0.46608649469320496,0.6430725113787433,0.6274777853725222,0.3186393613328705,0.42265193370165743,918,1963,2850,545
Strong,Default (0.50),0.5,0.6188427361019135,0.14764183185235816,0.4,0.21567648527209185,216,324,4489,1247
Strong,F1-Optimized,0.40082117658460753,0.6188427361019135,0.8564593301435407,0.26859592711682745,0.4089425587467363,1253,3412,1401,210
Strong,Recall ≥ 0.55,0.44529787349316047,0.6188427361019135,0.5502392344497608,0.30666666666666664,0.3938356164383562,805,1820,2993,658
Strong,Recall ≥ 0.60,0.43790811791332895,0.6188427361019135,0.6008202323991798,0.2952636882767887,0.39594594594594595,879,2098,2715,584
Strong,Cost-Sensitive (3:1),0.44479165563056455,0.6188427361019135,0.5550239234449761,0.30641509433962266,0.39484561147580843,812,1838,2975,651
Strong,Youden Index,0.44479165563056455,0.6188427361019135,0.5550239234449761,0.30641509433962266,0.39484561147580843,812,1838,2975,651
