window,start_quarter,auc,recall,precision,f1,samples,distressed
2021Q1-2021Q4,2021Q1,0.7275075720385688,0.7261682242990655,0.6845814977973568,0.7047619047619048,2079,1070
2021Q2-2022Q1,2021Q2,0.6725965843005013,0.7375328083989501,0.6606583072100314,0.6969822240595287,2084,1143
2021Q3-2022Q2,2021Q3,0.644803892009395,0.6948051948051948,0.5354462051709759,0.6048045219029675,2087,924
2021Q4-2022Q3,2021Q4,0.647617376811912,0.6790322580645162,0.37555753791257807,0.48363009764503156,2091,620
2022Q1-2022Q4,2022Q1,0.6323899143878915,0.6129032258064516,0.1962809917355372,0.297339593114241,2096,310
2022Q2-2023Q1,2022Q2,0.6081138036371743,0.5510204081632653,0.09462616822429906,0.16151545363908276,2100,147
2022Q3-2023Q2,2022Q3,0.5853984772319722,0.4803921568627451,0.059393939393939395,0.10571736785329018,2103,102
2022Q4-2023Q3,2022Q4,0.5578130851120741,0.4946236559139785,0.051054384017758046,0.0925553319919517,2103,93
2023Q1-2023Q4,2023Q1,0.5305025851672298,0.5301204819277109,0.04259438528557599,0.07885304659498207,2101,83
