feature,mean_abs_shap,mean_shap,std_shap
cds_spread_lag1,0.36247354900382556,0.02517257138509629,0.5513305445601663
momentum_12m,0.1628972220087403,-0.08782849393851232,0.17695294748540807
cds_spread_lag4,0.14797188922753937,0.01515144662244795,0.16593369975844763
altman_z_score,0.14279002221711232,0.024590724128174854,0.17004431847002097
volatility_12m,0.13038562052640268,-0.0942615467906043,0.1333317453069016
debt_to_assets,0.10241719865644643,0.007776815204601258,0.15424211817976569
return_1m,0.09519372429064524,0.0017203457865232164,0.10683066506526148
debt_to_equity,0.06927938516811925,0.01422460776251135,0.09464112404927505
momentum_3m,0.06539713846246804,0.011302792003221084,0.08328292301902875
leverage,0.06513064854068609,0.001431748677414053,0.09731693379310485
log_market_cap,0.05938170003261033,-0.014813023059549953,0.07842870702076225
return_lag1,0.05882125721644868,-0.014912497688125899,0.10058615480239773
return_lag4,0.056045978000027356,-0.011020403821185758,0.08187263410967331
profit_margin,0.048001604245485656,-0.006149794613839221,0.06752639414453936
volatility_3m,0.04661262410170508,0.016554268085958404,0.06793300692085331
niq,0.044030165121487025,-0.009825823960642186,0.05212129538480042
price,0.04287620934426446,-0.007772787668718966,0.06259743157244697
ltq,0.04237195227466903,-0.007040458274505141,0.060219093164632025
asset_turnover,0.04193961384980151,-0.0032508167107788777,0.06800421069102193
roa,0.04095909075600772,-0.00435257316781828,0.05476694034858847
cash_ratio,0.040918447452782,0.0031695370839866384,0.05813268157968957
seqq,0.03578076087945221,0.002972834046872628,0.0467139145317726
atq,0.03575744820302044,0.0007648731378116305,0.0539937052908097
saleq_change,0.03473831873557436,-0.0010377199498153964,0.04537969261347453
saleq,0.03368166669307023,-0.00445617069876513,0.04745465730463328
atq_change,0.030922815032222627,-0.003425653175437191,0.0461012442954633
current_ratio,0.03053795024388019,0.004414319717952321,0.043688580026058174
roe,0.02441881914414106,-0.0027869567148417003,0.037928990133821415
max_drawdown_12m,0.01811233282136269,0.00298336450770899,0.03597354459158363
